run_id,epochs,lr,batch_size,window_size,hidden_dim,fc_dim,num_layers_lstm,loop_type,c_mse,c_mae,T_PM_mse,T_PM_mae,d50_mse,d50_mae,d90_mse,d90_mae,d10_mse,d10_mae,T_TM_mse,T_TM_mae
1752706873,50,0.001,64,5,128,64,2,open,1.900656868568808e-06,0.0008092538506466708,0.6949070458475779,0.508685680879025,1.2748085108246811e-09,2.6450691398533622e-05,7.2584610564396475e-09,6.041056724697729e-05,1.8782640175422642e-09,3.219457847665889e-05,0.6079432793521907,0.4647603767048981
1752707042,50,0.001,64,10,128,64,2,closed,1.7287229935545946e-08,0.00010313475805980203,0.007246034252760755,0.06304822383694965,6.601530598954655e-13,5.95812744722194e-07,1.522301435360416e-12,9.797088393411682e-07,9.742762363933469e-13,7.574163545272572e-07,0.0075513937328181265,0.0587532873744644
1752707042,50,0.001,64,10,128,64,2,open,8.362492414299352e-06,0.0016134656537256805,4.56153520163987,1.0241169812544277,1.7248869516139724e-09,2.9200805751436996e-05,3.668412365482243e-09,4.346793298526016e-05,5.75338753803884e-09,5.547303896404416e-05,3.838867735718116,0.8176995988750377
1752707208,50,0.001,64,15,128,64,2,closed,2.1880395188481346e-08,9.763314504683933e-05,0.01778431587729814,0.11091355931689267,1.7958472757386989e-12,9.379791778864327e-07,1.6865034488167247e-12,8.966335169629759e-07,2.5153437289740578e-12,1.267722540122638e-06,0.010813750691750624,0.07361336154051193
1752707208,50,0.001,64,15,128,64,2,open,8.773904586171575e-06,0.0015105257260579958,9.868387284771618,1.5690012398110396,1.5319011606850776e-08,8.452082700190398e-05,3.287899463068459e-09,3.6194865929217395e-05,4.0771660435182564e-09,5.132354255800699e-05,9.192013623688819,1.4627642197680195
1752707376,50,0.001,64,20,128,64,2,closed,1.5399905026703205e-08,8.445442665092148e-05,0.015494296984288608,0.08300751237510165,2.6495328420635505e-12,1.3293905233069467e-06,1.9963852928154984e-12,1.0333333360292615e-06,1.656774536256694e-12,1.0669655877366801e-06,0.014630663861586958,0.07009725900579868
1752707376,50,0.001,64,20,128,64,2,open,3.23328180539319e-06,0.0010354769555661644,1.4652994078666988,0.5997161156043508,3.877467086413925e-09,4.439056051370023e-05,2.09727353302643e-09,3.65697406975848e-05,2.260091422308148e-09,3.855353308750653e-05,1.2788491915911657,0.5132805128663044
1752707543,70,0.0001,64,5,128,64,2,closed,1.529728761368073e-08,7.040387164140986e-05,0.006871353011959172,0.049403955244492814,9.877053136152216e-13,7.45194004843305e-07,1.045779187260974e-12,7.782739868734872e-07,1.2061902572639044e-12,8.027685678197933e-07,0.008246226360500672,0.04823773169371465
1752707543,70,0.0001,64,5,128,64,2,open,3.0155706737942296e-06,0.0006491804571018567,2.7454440196388057,0.5804769285477148,2.439359188326356e-09,2.5340662959753424e-05,3.7225488712267153e-09,2.936647953473094e-05,5.406003562134805e-10,1.5156661276605882e-05,2.738298311950433,0.5528377985853652
1752707772,70,0.0001,64,10,128,64,2,closed,1.2969166134418377e-08,7.96994925666087e-05,0.010814268183689323,0.07553509581860547,6.982880586715402e-13,6.166309147211219e-07,6.204268906461806e-13,6.020886864959032e-07,6.20876509879929e-13,5.96326543716963e-07,0.008635952344226396,0.05559507403933013
